,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
87,Month_12,False,7,100,0.9830508474576272,0.8768472906403941
88,Month_12,False,7,150,0.9851694915254238,0.8768472906403941
89,Month_12,False,7,200,0.9872881355932204,0.8768472906403941
90,Month_12,False,8,25,0.989406779661017,0.8522167487684729
91,Month_12,False,8,50,0.9936440677966102,0.8620689655172413
92,Month_12,False,8,75,0.9936440677966102,0.8620689655172413
93,Month_12,False,8,100,0.9978813559322034,0.8620689655172413
94,Month_12,False,8,150,0.9957627118644068,0.8620689655172413
95,Month_12,False,8,200,0.9957627118644068,0.8768472906403941
96,Month_12,False,9,25,0.9936440677966102,0.8275862068965517
97,Month_12,False,9,50,1.0,0.8522167487684729
98,Month_12,False,9,75,0.9978813559322034,0.8571428571428571
99,Month_12,False,9,100,0.9978813559322034,0.8719211822660099
100,Month_12,False,9,150,0.9978813559322034,0.8620689655172413
101,Month_12,False,9,200,0.9978813559322034,0.8620689655172413
102,Month_12,False,10,25,0.9936440677966102,0.8374384236453202
103,Month_12,False,10,50,1.0,0.8571428571428571
104,Month_12,False,10,75,0.9978813559322034,0.8768472906403941
105,Month_12,False,10,100,0.9978813559322034,0.8669950738916257
106,Month_12,False,10,150,1.0,0.8768472906403941
107,Month_12,False,10,200,1.0,0.8768472906403941
108,Month_18,False,2,25,0.8598130841121495,0.8241758241758241
109,Month_18,False,2,50,0.8598130841121495,0.8241758241758241
110,Month_18,False,2,75,0.8598130841121495,0.8131868131868132
111,Month_18,False,2,100,0.8644859813084113,0.8131868131868132
112,Month_18,False,2,150,0.8691588785046729,0.8131868131868132
113,Month_18,False,2,200,0.8644859813084113,0.8131868131868132
114,Month_18,False,3,25,0.897196261682243,0.8351648351648352
115,Month_18,False,3,50,0.9018691588785047,0.8351648351648352
116,Month_18,False,3,75,0.9018691588785047,0.8461538461538461
117,Month_18,False,3,100,0.8878504672897196,0.8571428571428571
118,Month_18,False,3,150,0.9018691588785047,0.8571428571428571
119,Month_18,False,3,200,0.9018691588785047,0.8571428571428571
120,Month_18,False,4,25,0.9392523364485982,0.8461538461538461
121,Month_18,False,4,50,0.9392523364485982,0.8571428571428571
122,Month_18,False,4,75,0.9392523364485982,0.8571428571428571
123,Month_18,False,4,100,0.9439252336448598,0.8681318681318682
124,Month_18,False,4,150,0.9345794392523364,0.8571428571428571
125,Month_18,False,4,200,0.9392523364485982,0.8681318681318682
126,Month_18,False,5,25,0.9579439252336449,0.8681318681318682
127,Month_18,False,5,50,0.9626168224299065,0.8571428571428571
128,Month_18,False,5,75,0.9626168224299065,0.8571428571428571
129,Month_18,False,5,100,0.9672897196261683,0.8681318681318682
130,Month_18,False,5,150,0.9719626168224299,0.8571428571428571
131,Month_18,False,5,200,0.9766355140186916,0.8571428571428571
132,Month_18,False,6,25,0.9813084112149533,0.8681318681318682
133,Month_18,False,6,50,0.9813084112149533,0.8571428571428571
134,Month_18,False,6,75,0.9813084112149533,0.8681318681318682
135,Month_18,False,6,100,0.9813084112149533,0.8791208791208791
136,Month_18,False,6,150,0.9813084112149533,0.8901098901098901
137,Month_18,False,6,200,0.9813084112149533,0.8791208791208791
138,Month_18,False,7,25,0.9766355140186916,0.8791208791208791
139,Month_18,False,7,50,0.9906542056074766,0.8461538461538461
140,Month_18,False,7,75,0.9906542056074766,0.8461538461538461
141,Month_18,False,7,100,0.9906542056074766,0.8461538461538461
142,Month_18,False,7,150,0.9906542056074766,0.8571428571428571
143,Month_18,False,7,200,0.9906542056074766,0.8571428571428571
144,Month_18,False,8,25,0.9953271028037384,0.8571428571428571
145,Month_18,False,8,50,1.0,0.8571428571428571
146,Month_18,False,8,75,1.0,0.8681318681318682
147,Month_18,False,8,100,1.0,0.8681318681318682
148,Month_18,False,8,150,1.0,0.8791208791208791
149,Month_18,False,8,200,1.0,0.8901098901098901
150,Month_18,False,9,25,1.0,0.8901098901098901
151,Month_18,False,9,50,1.0,0.8681318681318682
152,Month_18,False,9,75,1.0,0.8681318681318682
153,Month_18,False,9,100,1.0,0.8571428571428571
154,Month_18,False,9,150,1.0,0.8681318681318682
155,Month_18,False,9,200,1.0,0.8791208791208791
156,Month_18,False,10,25,1.0,0.8901098901098901
157,Month_18,False,10,50,1.0,0.8571428571428571
158,Month_18,False,10,75,1.0,0.8571428571428571
159,Month_18,False,10,100,1.0,0.8571428571428571
160,Month_18,False,10,150,1.0,0.8791208791208791
161,Month_18,False,10,200,1.0,0.8791208791208791
162,Month_24,False,2,25,0.8582474226804123,0.8674698795180723
163,Month_24,False,2,50,0.8608247422680413,0.8674698795180723
164,Month_24,False,2,75,0.8479381443298969,0.8734939759036144
165,Month_24,False,2,100,0.8479381443298969,0.8734939759036144
166,Month_24,False,2,150,0.845360824742268,0.8674698795180723
167,Month_24,False,2,200,0.8505154639175257,0.8674698795180723
168,Month_24,False,3,25,0.8891752577319587,0.8554216867469879
169,Month_24,False,3,50,0.8917525773195877,0.8614457831325302
170,Month_24,False,3,75,0.8814432989690721,0.8614457831325302
171,Month_24,False,3,100,0.884020618556701,0.8614457831325302
172,Month_24,False,3,150,0.8762886597938144,0.8795180722891566
173,Month_24,False,3,200,0.8814432989690721,0.8674698795180723
174,Month_24,False,4,25,0.9175257731958762,0.8614457831325302
175,Month_24,False,4,50,0.9201030927835051,0.8795180722891566
176,Month_24,False,4,75,0.9175257731958762,0.8734939759036144
177,Month_24,False,4,100,0.9201030927835051,0.8554216867469879
178,Month_24,False,4,150,0.9201030927835051,0.8674698795180723
179,Month_24,False,4,200,0.9226804123711341,0.8674698795180723
180,Month_24,False,5,25,0.9432989690721649,0.8734939759036144
181,Month_24,False,5,50,0.9432989690721649,0.8554216867469879
182,Month_24,False,5,75,0.9484536082474226,0.8614457831325302
183,Month_24,False,5,100,0.9484536082474226,0.8554216867469879
184,Month_24,False,5,150,0.9458762886597938,0.8795180722891566
185,Month_24,False,5,200,0.9458762886597938,0.8674698795180723
186,Month_24,False,6,25,0.9561855670103093,0.8433734939759037
187,Month_24,False,6,50,0.9664948453608248,0.8554216867469879
188,Month_24,False,6,75,0.9690721649484536,0.8554216867469879
189,Month_24,False,6,100,0.9690721649484536,0.8614457831325302
190,Month_24,False,6,150,0.9639175257731959,0.8795180722891566
191,Month_24,False,6,200,0.9639175257731959,0.8614457831325302
192,Month_24,False,7,25,0.9845360824742269,0.8493975903614458
193,Month_24,False,7,50,0.9922680412371134,0.8433734939759037
194,Month_24,False,7,75,0.9948453608247423,0.8373493975903614
195,Month_24,False,7,100,0.9948453608247423,0.8493975903614458
196,Month_24,False,7,150,0.9948453608247423,0.8493975903614458
197,Month_24,False,7,200,0.9974226804123711,0.8493975903614458
198,Month_24,False,8,25,0.9974226804123711,0.8614457831325302
199,Month_24,False,8,50,1.0,0.8614457831325302
200,Month_24,False,8,75,1.0,0.8554216867469879
201,Month_24,False,8,100,1.0,0.8554216867469879
202,Month_24,False,8,150,1.0,0.8674698795180723
203,Month_24,False,8,200,1.0,0.8554216867469879
204,Month_24,False,9,25,1.0,0.8674698795180723
205,Month_24,False,9,50,1.0,0.8433734939759037
206,Month_24,False,9,75,1.0,0.8614457831325302
207,Month_24,False,9,100,1.0,0.8493975903614458
208,Month_24,False,9,150,1.0,0.8554216867469879
209,Month_24,False,9,200,1.0,0.8373493975903614
210,Month_24,False,10,25,1.0,0.8554216867469879
211,Month_24,False,10,50,1.0,0.8493975903614458
212,Month_24,False,10,75,1.0,0.8493975903614458
213,Month_24,False,10,100,1.0,0.8493975903614458
214,Month_24,False,10,150,1.0,0.8614457831325302
215,Month_24,False,10,200,1.0,0.8554216867469879
216,Month_36,False,2,25,0.9188191881918819,0.8275862068965517
217,Month_36,False,2,50,0.922509225092251,0.8362068965517241
218,Month_36,False,2,75,0.9261992619926199,0.8362068965517241
219,Month_36,False,2,100,0.9298892988929889,0.8362068965517241
220,Month_36,False,2,150,0.9261992619926199,0.8362068965517241
221,Month_36,False,2,200,0.9298892988929889,0.8448275862068966
222,Month_36,False,3,25,0.9372693726937269,0.8448275862068966
223,Month_36,False,3,50,0.9372693726937269,0.8362068965517241
224,Month_36,False,3,75,0.9372693726937269,0.8275862068965517
225,Month_36,False,3,100,0.9372693726937269,0.8362068965517241
226,Month_36,False,3,150,0.9372693726937269,0.8448275862068966
227,Month_36,False,3,200,0.9372693726937269,0.8362068965517241
228,Month_36,False,4,25,0.9520295202952029,0.8448275862068966
229,Month_36,False,4,50,0.9520295202952029,0.8275862068965517
230,Month_36,False,4,75,0.948339483394834,0.8189655172413793
231,Month_36,False,4,100,0.948339483394834,0.8275862068965517
