,Max Depth,Training Accuracy,Testing Accuracy
0,2,0.8691588785046729,0.8021978021978022
1,3,0.9158878504672897,0.8131868131868132
2,4,0.9439252336448598,0.8241758241758241
3,5,0.9532710280373832,0.7802197802197802
4,6,0.985981308411215,0.7692307692307693
5,7,1.0,0.7582417582417582
6,8,1.0,0.7912087912087912
7,9,1.0,0.8131868131868132
8,10,1.0,0.7802197802197802
