,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,1.0,0.8666666666666667
1,2,50,1.0,0.8666666666666667
2,2,75,1.0,0.8666666666666667
3,2,100,1.0,0.9
4,2,150,1.0,0.8666666666666667
5,2,200,1.0,0.9
6,3,25,1.0,0.9
7,3,50,1.0,0.9333333333333333
8,3,75,1.0,0.9333333333333333
9,3,100,1.0,0.9
10,3,150,1.0,0.9333333333333333
11,3,200,1.0,0.9
12,4,25,1.0,0.9
13,4,50,1.0,0.9333333333333333
14,4,75,1.0,0.9
15,4,100,1.0,0.9
16,4,150,1.0,0.9
17,4,200,1.0,0.9
18,5,25,1.0,0.9
19,5,50,1.0,0.9
20,5,75,1.0,0.9333333333333333
21,5,100,1.0,0.9
22,5,150,1.0,0.9
23,5,200,1.0,0.9
24,6,25,1.0,0.9333333333333333
25,6,50,1.0,0.9
26,6,75,1.0,0.9333333333333333
27,6,100,1.0,0.9
28,6,150,1.0,0.9
29,6,200,1.0,0.9333333333333333
30,7,25,1.0,0.9
31,7,50,1.0,0.9333333333333333
32,7,75,1.0,0.9333333333333333
33,7,100,1.0,0.9333333333333333
34,7,150,1.0,0.9333333333333333
35,7,200,1.0,0.9
36,8,25,1.0,0.9
37,8,50,1.0,0.9333333333333333
38,8,75,1.0,0.9333333333333333
39,8,100,1.0,0.9333333333333333
40,8,150,1.0,0.9
41,8,200,1.0,0.9333333333333333
42,9,25,1.0,0.9
43,9,50,1.0,0.9333333333333333
44,9,75,1.0,0.9
45,9,100,1.0,0.9
46,9,150,1.0,0.9
47,9,200,1.0,0.9333333333333333
48,10,25,1.0,0.9333333333333333
49,10,50,1.0,0.9333333333333333
50,10,75,1.0,0.9333333333333333
51,10,100,1.0,0.9
52,10,150,1.0,0.9
53,10,200,1.0,0.9
