,K Value,Training Accuracy,Testing Accuracy
0,3,0.8943298969072165,0.8373493975903614
1,4,0.865979381443299,0.7831325301204819
2,5,0.8608247422680413,0.8192771084337349
3,6,0.865979381443299,0.7951807228915663
4,7,0.8530927835051546,0.8373493975903614
5,8,0.8479381443298969,0.8192771084337349
6,9,0.8402061855670103,0.8313253012048193
7,10,0.8324742268041238,0.8132530120481928
8,11,0.8350515463917526,0.8373493975903614
9,12,0.8298969072164949,0.8373493975903614
10,13,0.8376288659793815,0.8373493975903614
