,Dataset,Selective,K Value,Training Accuracy,Testing Accuracy
44,Month_36,False,3,0.9114391143911439,0.8275862068965517
45,Month_36,False,4,0.8929889298892989,0.8103448275862069
46,Month_36,False,5,0.8929889298892989,0.8103448275862069
47,Month_36,False,6,0.9003690036900369,0.8017241379310345
48,Month_36,False,7,0.8892988929889298,0.8275862068965517
49,Month_36,False,8,0.8966789667896679,0.7844827586206896
50,Month_36,False,9,0.8966789667896679,0.8275862068965517
51,Month_36,False,10,0.8966789667896679,0.7931034482758621
52,Month_36,False,11,0.8929889298892989,0.8103448275862069
53,Month_36,False,12,0.8929889298892989,0.8103448275862069
54,Month_36,False,13,0.8892988929889298,0.8189655172413793
55,Month_48,False,3,0.8873239436619719,0.8666666666666667
56,Month_48,False,4,0.8450704225352113,0.8333333333333334
57,Month_48,False,5,0.8732394366197183,0.8666666666666667
58,Month_48,False,6,0.8450704225352113,0.8666666666666667
59,Month_48,False,7,0.8450704225352113,0.8333333333333334
60,Month_48,False,8,0.8732394366197183,0.8333333333333334
61,Month_48,False,9,0.8450704225352113,0.8666666666666667
62,Month_48,False,10,0.8450704225352113,0.8666666666666667
63,Month_48,False,11,0.8169014084507042,0.9333333333333333
64,Month_48,False,12,0.8309859154929577,0.9333333333333333
65,Month_48,False,13,0.8028169014084507,0.9
66,Month_6,True,3,0.8864970645792564,0.8082191780821918
67,Month_6,True,4,0.8786692759295499,0.8036529680365296
68,Month_6,True,5,0.8669275929549902,0.8264840182648402
69,Month_6,True,6,0.8649706457925636,0.8401826484018264
70,Month_6,True,7,0.8688845401174168,0.8493150684931506
71,Month_6,True,8,0.8610567514677103,0.8447488584474886
72,Month_6,True,9,0.8590998043052838,0.8584474885844748
73,Month_6,True,10,0.8610567514677103,0.8356164383561644
74,Month_6,True,11,0.863013698630137,0.8493150684931506
75,Month_6,True,12,0.8551859099804305,0.8538812785388128
76,Month_6,True,13,0.8512720156555773,0.8538812785388128
77,Month_12,True,3,0.9152542372881356,0.8029556650246306
78,Month_12,True,4,0.9110169491525424,0.812807881773399
79,Month_12,True,5,0.9046610169491526,0.8177339901477833
80,Month_12,True,6,0.9067796610169492,0.8078817733990148
81,Month_12,True,7,0.8919491525423728,0.8275862068965517
82,Month_12,True,8,0.8834745762711864,0.7980295566502463
83,Month_12,True,9,0.885593220338983,0.8078817733990148
