,K Value,Training Accuracy,Testing Accuracy
0,3,0.922509225092251,0.8706896551724138
1,4,0.915129151291513,0.8448275862068966
2,5,0.9077490774907749,0.8706896551724138
3,6,0.9003690036900369,0.8706896551724138
4,7,0.8892988929889298,0.896551724137931
5,8,0.8819188191881919,0.8706896551724138
6,9,0.8819188191881919,0.8879310344827587
7,10,0.8634686346863468,0.8793103448275862
8,11,0.8523985239852399,0.8793103448275862
9,12,0.8523985239852399,0.8793103448275862
10,13,0.8560885608856088,0.8879310344827587
