,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9813084112149533,0.8131868131868132
1,2,50,1.0,0.8241758241758241
2,2,75,1.0,0.8021978021978022
3,2,100,1.0,0.7912087912087912
4,2,150,1.0,0.7692307692307693
5,2,200,1.0,0.8461538461538461
6,3,25,1.0,0.8351648351648352
7,3,50,1.0,0.8351648351648352
8,3,75,1.0,0.8351648351648352
9,3,100,1.0,0.8461538461538461
10,3,150,1.0,0.8351648351648352
11,3,200,1.0,0.8461538461538461
12,4,25,1.0,0.8791208791208791
13,4,50,1.0,0.8901098901098901
14,4,75,1.0,0.8791208791208791
15,4,100,1.0,0.8791208791208791
16,4,150,1.0,0.8681318681318682
17,4,200,1.0,0.8681318681318682
18,5,25,1.0,0.8681318681318682
19,5,50,1.0,0.8681318681318682
20,5,75,1.0,0.8351648351648352
21,5,100,1.0,0.8571428571428571
22,5,150,1.0,0.8351648351648352
23,5,200,1.0,0.8571428571428571
24,6,25,1.0,0.9230769230769231
25,6,50,1.0,0.8681318681318682
26,6,75,1.0,0.8681318681318682
27,6,100,1.0,0.8351648351648352
28,6,150,1.0,0.8571428571428571
29,6,200,1.0,0.8681318681318682
30,7,25,1.0,0.8571428571428571
31,7,50,1.0,0.8791208791208791
32,7,75,1.0,0.8461538461538461
33,7,100,1.0,0.8901098901098901
34,7,150,1.0,0.8791208791208791
35,7,200,1.0,0.8351648351648352
36,8,25,1.0,0.9120879120879121
37,8,50,1.0,0.9340659340659341
38,8,75,1.0,0.9120879120879121
39,8,100,1.0,0.8901098901098901
40,8,150,1.0,0.8681318681318682
41,8,200,1.0,0.9120879120879121
42,9,25,1.0,0.8021978021978022
43,9,50,1.0,0.7582417582417582
44,9,75,1.0,0.7582417582417582
45,9,100,1.0,0.7802197802197802
46,9,150,1.0,0.7692307692307693
47,9,200,1.0,0.7912087912087912
48,10,25,1.0,0.7692307692307693
49,10,50,1.0,0.7472527472527473
50,10,75,1.0,0.8021978021978022
51,10,100,1.0,0.7582417582417582
52,10,150,1.0,0.7692307692307693
53,10,200,1.0,0.7692307692307693
