,K Value,Training Accuracy,Testing Accuracy
0,3,0.8685567010309279,0.7710843373493976
1,4,0.8324742268041238,0.7650602409638554
2,5,0.8402061855670103,0.8192771084337349
3,6,0.8402061855670103,0.7951807228915663
4,7,0.8402061855670103,0.8313253012048193
5,8,0.8350515463917526,0.8072289156626506
6,9,0.8350515463917526,0.8493975903614458
7,10,0.8402061855670103,0.8433734939759037
8,11,0.8170103092783505,0.8493975903614458
9,12,0.8376288659793815,0.8614457831325302
10,13,0.8144329896907216,0.8554216867469879
