,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.8669275929549902,0.7945205479452054
1,2,50,0.87279843444227,0.817351598173516
2,2,75,0.8747553816046967,0.817351598173516
3,2,100,0.8767123287671232,0.8127853881278538
4,2,150,0.8786692759295499,0.8127853881278538
5,2,200,0.8806262230919765,0.8082191780821918
6,3,25,0.8845401174168297,0.8127853881278538
7,3,50,0.8904109589041096,0.817351598173516
8,3,75,0.8845401174168297,0.8127853881278538
9,3,100,0.8825831702544031,0.821917808219178
10,3,150,0.8884540117416829,0.817351598173516
11,3,200,0.8884540117416829,0.817351598173516
12,4,25,0.9080234833659491,0.8264840182648402
13,4,50,0.913894324853229,0.817351598173516
14,4,75,0.9099804305283757,0.821917808219178
15,4,100,0.9021526418786693,0.817351598173516
16,4,150,0.9041095890410958,0.817351598173516
17,4,200,0.9060665362035225,0.8264840182648402
18,5,25,0.9178082191780822,0.8356164383561644
19,5,50,0.9256360078277887,0.8264840182648402
20,5,75,0.923679060665362,0.817351598173516
21,5,100,0.9275929549902152,0.8310502283105022
22,5,150,0.9256360078277887,0.8264840182648402
23,5,200,0.9295499021526419,0.8264840182648402
24,6,25,0.9373776908023483,0.8264840182648402
25,6,50,0.9432485322896281,0.8356164383561644
26,6,75,0.9412915851272016,0.8264840182648402
27,6,100,0.9432485322896281,0.8310502283105022
28,6,150,0.9452054794520548,0.821917808219178
29,6,200,0.9432485322896281,0.8264840182648402
30,7,25,0.958904109589041,0.8356164383561644
31,7,50,0.9608610567514677,0.8401826484018264
32,7,75,0.9608610567514677,0.8264840182648402
33,7,100,0.9608610567514677,0.821917808219178
34,7,150,0.9608610567514677,0.8264840182648402
35,7,200,0.9628180039138943,0.8310502283105022
36,8,25,0.9706457925636007,0.8447488584474886
37,8,50,0.974559686888454,0.8401826484018264
38,8,75,0.9765166340508806,0.8310502283105022
39,8,100,0.974559686888454,0.8264840182648402
40,8,150,0.974559686888454,0.8447488584474886
41,8,200,0.9726027397260274,0.8264840182648402
42,9,25,0.9804305283757339,0.8310502283105022
43,9,50,0.9843444227005871,0.8264840182648402
44,9,75,0.9823874755381604,0.8356164383561644
45,9,100,0.9823874755381604,0.8356164383561644
46,9,150,0.9843444227005871,0.8310502283105022
47,9,200,0.9843444227005871,0.8447488584474886
48,10,25,0.9882583170254403,0.8356164383561644
49,10,50,0.9902152641878669,0.8447488584474886
50,10,75,0.9882583170254403,0.8493150684931506
51,10,100,0.9882583170254403,0.8447488584474886
52,10,150,0.9941291585127201,0.8356164383561644
53,10,200,0.9921722113502935,0.8401826484018264
