,Max Depth,Training Accuracy,Testing Accuracy
0,2,0.8966789667896679,0.853448275862069
1,3,0.9298892988929889,0.8362068965517241
2,4,0.9630996309963099,0.853448275862069
3,5,0.974169741697417,0.8448275862068966
4,6,0.988929889298893,0.8362068965517241
5,7,0.996309963099631,0.8448275862068966
6,8,1.0,0.8362068965517241
7,9,1.0,0.853448275862069
8,10,1.0,0.8275862068965517
