,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.971830985915493,0.8666666666666667
1,2,50,0.971830985915493,0.8333333333333334
2,2,75,0.971830985915493,0.8666666666666667
3,2,100,0.971830985915493,0.8666666666666667
4,2,150,0.971830985915493,0.8666666666666667
5,2,200,0.971830985915493,0.8666666666666667
6,3,25,1.0,0.8666666666666667
7,3,50,1.0,0.8666666666666667
8,3,75,1.0,0.8666666666666667
9,3,100,1.0,0.8666666666666667
10,3,150,1.0,0.8666666666666667
11,3,200,1.0,0.8333333333333334
12,4,25,1.0,0.8
13,4,50,1.0,0.8333333333333334
14,4,75,1.0,0.8333333333333334
15,4,100,1.0,0.8666666666666667
16,4,150,1.0,0.8666666666666667
17,4,200,1.0,0.8666666666666667
18,5,25,1.0,0.8333333333333334
19,5,50,1.0,0.8666666666666667
20,5,75,1.0,0.8333333333333334
21,5,100,1.0,0.8333333333333334
22,5,150,1.0,0.8666666666666667
23,5,200,1.0,0.8666666666666667
24,6,25,1.0,0.8
25,6,50,1.0,0.8666666666666667
26,6,75,1.0,0.8333333333333334
27,6,100,1.0,0.8333333333333334
28,6,150,1.0,0.8666666666666667
29,6,200,1.0,0.8666666666666667
30,7,25,1.0,0.8
31,7,50,1.0,0.8666666666666667
32,7,75,1.0,0.8333333333333334
33,7,100,1.0,0.8333333333333334
34,7,150,1.0,0.8666666666666667
35,7,200,1.0,0.8666666666666667
36,8,25,1.0,0.8
37,8,50,1.0,0.8666666666666667
38,8,75,1.0,0.8333333333333334
39,8,100,1.0,0.8333333333333334
40,8,150,1.0,0.8666666666666667
41,8,200,1.0,0.8666666666666667
42,9,25,1.0,0.8
43,9,50,1.0,0.8666666666666667
44,9,75,1.0,0.8333333333333334
45,9,100,1.0,0.8333333333333334
46,9,150,1.0,0.8666666666666667
47,9,200,1.0,0.8666666666666667
48,10,25,1.0,0.8
49,10,50,1.0,0.8666666666666667
50,10,75,1.0,0.8333333333333334
51,10,100,1.0,0.8333333333333334
52,10,150,1.0,0.8666666666666667
53,10,200,1.0,0.8666666666666667
