,K Value,Training Accuracy,Testing Accuracy
0,3,0.8767123287671232,0.8356164383561644
1,4,0.8610567514677103,0.8447488584474886
2,5,0.8649706457925636,0.8401826484018264
3,6,0.8532289628180039,0.8447488584474886
4,7,0.8512720156555773,0.8538812785388128
5,8,0.8512720156555773,0.8767123287671232
6,9,0.8493150684931506,0.8584474885844748
7,10,0.8512720156555773,0.863013698630137
8,11,0.8532289628180039,0.8721461187214612
9,12,0.8512720156555773,0.8721461187214612
10,13,0.8512720156555773,0.8584474885844748
