,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,1.0,0.8706896551724138
1,2,50,1.0,0.8620689655172413
2,2,75,1.0,0.8793103448275862
3,2,100,1.0,0.896551724137931
4,2,150,1.0,0.8706896551724138
5,2,200,1.0,0.8706896551724138
6,3,25,1.0,0.9051724137931034
7,3,50,1.0,0.9051724137931034
8,3,75,1.0,0.9137931034482759
9,3,100,1.0,0.8879310344827587
10,3,150,1.0,0.896551724137931
11,3,200,1.0,0.8879310344827587
12,4,25,1.0,0.896551724137931
13,4,50,1.0,0.8879310344827587
14,4,75,1.0,0.8706896551724138
15,4,100,1.0,0.8793103448275862
16,4,150,1.0,0.9310344827586207
17,4,200,1.0,0.8879310344827587
18,5,25,1.0,0.8706896551724138
19,5,50,1.0,0.896551724137931
20,5,75,1.0,0.8706896551724138
21,5,100,1.0,0.896551724137931
22,5,150,1.0,0.8793103448275862
23,5,200,1.0,0.896551724137931
24,6,25,1.0,0.8448275862068966
25,6,50,1.0,0.8448275862068966
26,6,75,1.0,0.8448275862068966
27,6,100,1.0,0.853448275862069
28,6,150,1.0,0.8448275862068966
29,6,200,1.0,0.8448275862068966
30,7,25,0.996309963099631,0.8275862068965517
31,7,50,1.0,0.8448275862068966
32,7,75,0.996309963099631,0.8275862068965517
33,7,100,1.0,0.8275862068965517
34,7,150,0.996309963099631,0.8362068965517241
35,7,200,0.996309963099631,0.8275862068965517
36,8,25,1.0,0.8448275862068966
37,8,50,1.0,0.8275862068965517
38,8,75,1.0,0.8275862068965517
39,8,100,1.0,0.8448275862068966
40,8,150,1.0,0.853448275862069
41,8,200,1.0,0.8362068965517241
42,9,25,1.0,0.8362068965517241
43,9,50,1.0,0.8275862068965517
44,9,75,1.0,0.8448275862068966
45,9,100,1.0,0.853448275862069
46,9,150,1.0,0.8448275862068966
47,9,200,1.0,0.8275862068965517
48,10,25,1.0,0.8448275862068966
49,10,50,1.0,0.8275862068965517
50,10,75,1.0,0.8448275862068966
51,10,100,1.0,0.8362068965517241
52,10,150,1.0,0.8448275862068966
53,10,200,1.0,0.8448275862068966
