,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,1.0,0.7912087912087912
1,2,50,1.0,0.7802197802197802
2,2,75,1.0,0.7692307692307693
3,2,100,1.0,0.7582417582417582
4,2,150,1.0,0.7692307692307693
5,2,200,1.0,0.7802197802197802
6,3,25,1.0,0.8461538461538461
7,3,50,1.0,0.8461538461538461
8,3,75,1.0,0.8351648351648352
9,3,100,1.0,0.8351648351648352
10,3,150,1.0,0.8021978021978022
11,3,200,1.0,0.8131868131868132
12,4,25,1.0,0.8131868131868132
13,4,50,1.0,0.8021978021978022
14,4,75,1.0,0.8351648351648352
15,4,100,1.0,0.8571428571428571
16,4,150,1.0,0.8681318681318682
17,4,200,1.0,0.8351648351648352
18,5,25,1.0,0.8351648351648352
19,5,50,1.0,0.8461538461538461
20,5,75,1.0,0.8131868131868132
21,5,100,1.0,0.8351648351648352
22,5,150,1.0,0.8461538461538461
23,5,200,1.0,0.8461538461538461
24,6,25,1.0,0.8351648351648352
25,6,50,1.0,0.8351648351648352
26,6,75,1.0,0.8571428571428571
27,6,100,1.0,0.7912087912087912
28,6,150,1.0,0.8351648351648352
29,6,200,1.0,0.8681318681318682
30,7,25,1.0,0.7802197802197802
31,7,50,1.0,0.7692307692307693
32,7,75,1.0,0.8021978021978022
33,7,100,1.0,0.7912087912087912
34,7,150,1.0,0.7912087912087912
35,7,200,1.0,0.7802197802197802
36,8,25,1.0,0.7912087912087912
37,8,50,1.0,0.7802197802197802
38,8,75,1.0,0.7912087912087912
39,8,100,1.0,0.7802197802197802
40,8,150,1.0,0.7692307692307693
41,8,200,1.0,0.8021978021978022
42,9,25,1.0,0.7802197802197802
43,9,50,1.0,0.7802197802197802
44,9,75,1.0,0.8021978021978022
45,9,100,1.0,0.7912087912087912
46,9,150,1.0,0.7912087912087912
47,9,200,1.0,0.7802197802197802
48,10,25,1.0,0.8021978021978022
49,10,50,1.0,0.7912087912087912
50,10,75,1.0,0.8021978021978022
51,10,100,1.0,0.7692307692307693
52,10,150,1.0,0.8021978021978022
53,10,200,1.0,0.7912087912087912
