,K Value,Training Accuracy,Testing Accuracy
0,3,0.9046610169491526,0.8325123152709359
1,4,0.8940677966101694,0.8325123152709359
2,5,0.9067796610169492,0.8423645320197044
3,6,0.8940677966101694,0.8472906403940886
4,7,0.885593220338983,0.8423645320197044
5,8,0.8983050847457628,0.8423645320197044
6,9,0.8834745762711864,0.8325123152709359
7,10,0.885593220338983,0.8423645320197044
8,11,0.8877118644067796,0.8423645320197044
9,12,0.8877118644067796,0.8374384236453202
10,13,0.8771186440677966,0.8275862068965517
