,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.898238747553816,0.8082191780821918
1,2,50,0.9099804305283757,0.8127853881278538
2,2,75,0.9080234833659491,0.8082191780821918
3,2,100,0.898238747553816,0.817351598173516
4,2,150,0.8962818003913894,0.7945205479452054
5,2,200,0.8884540117416829,0.7990867579908676
6,3,25,0.9706457925636007,0.8082191780821918
7,3,50,0.9941291585127201,0.8127853881278538
8,3,75,1.0,0.8036529680365296
9,3,100,1.0,0.817351598173516
10,3,150,1.0,0.8082191780821918
11,3,200,1.0,0.8036529680365296
12,4,25,1.0,0.7990867579908676
13,4,50,1.0,0.817351598173516
14,4,75,1.0,0.7990867579908676
15,4,100,1.0,0.817351598173516
16,4,150,1.0,0.8264840182648402
17,4,200,1.0,0.821917808219178
18,5,25,1.0,0.7853881278538812
19,5,50,1.0,0.7990867579908676
20,5,75,1.0,0.8082191780821918
21,5,100,1.0,0.7990867579908676
22,5,150,1.0,0.8127853881278538
23,5,200,1.0,0.817351598173516
24,6,25,1.0,0.817351598173516
25,6,50,1.0,0.8264840182648402
26,6,75,1.0,0.8082191780821918
27,6,100,1.0,0.8356164383561644
28,6,150,1.0,0.817351598173516
29,6,200,1.0,0.8264840182648402
30,7,25,1.0,0.7990867579908676
31,7,50,1.0,0.8264840182648402
32,7,75,1.0,0.8401826484018264
33,7,100,1.0,0.8310502283105022
34,7,150,1.0,0.8356164383561644
35,7,200,1.0,0.8082191780821918
36,8,25,1.0,0.7945205479452054
37,8,50,1.0,0.821917808219178
38,8,75,1.0,0.8127853881278538
39,8,100,1.0,0.8447488584474886
40,8,150,1.0,0.821917808219178
41,8,200,1.0,0.817351598173516
42,9,25,1.0,0.7945205479452054
43,9,50,1.0,0.8036529680365296
44,9,75,1.0,0.821917808219178
45,9,100,1.0,0.821917808219178
46,9,150,1.0,0.817351598173516
47,9,200,1.0,0.8264840182648402
48,10,25,1.0,0.8036529680365296
49,10,50,1.0,0.8082191780821918
50,10,75,1.0,0.7945205479452054
51,10,100,1.0,0.821917808219178
52,10,150,1.0,0.8082191780821918
53,10,200,1.0,0.8264840182648402
