,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.8556701030927835,0.8253012048192772
1,2,50,0.865979381443299,0.8493975903614458
2,2,75,0.8634020618556701,0.8373493975903614
3,2,100,0.8685567010309279,0.8313253012048193
4,2,150,0.8685567010309279,0.8373493975903614
5,2,200,0.8737113402061856,0.8313253012048193
6,3,25,0.8865979381443299,0.8373493975903614
7,3,50,0.8891752577319587,0.8493975903614458
8,3,75,0.8891752577319587,0.8433734939759037
9,3,100,0.8891752577319587,0.8433734939759037
10,3,150,0.8943298969072165,0.8433734939759037
11,3,200,0.8865979381443299,0.8554216867469879
12,4,25,0.9201030927835051,0.8554216867469879
13,4,50,0.9175257731958762,0.8493975903614458
14,4,75,0.9226804123711341,0.8614457831325302
15,4,100,0.9252577319587629,0.8493975903614458
16,4,150,0.9252577319587629,0.8493975903614458
17,4,200,0.9278350515463918,0.8554216867469879
18,5,25,0.9510309278350515,0.8253012048192772
19,5,50,0.9458762886597938,0.8373493975903614
20,5,75,0.9484536082474226,0.8493975903614458
21,5,100,0.9484536082474226,0.8554216867469879
22,5,150,0.9561855670103093,0.8674698795180723
23,5,200,0.9561855670103093,0.8614457831325302
24,6,25,0.9716494845360825,0.8493975903614458
25,6,50,0.979381443298969,0.8493975903614458
26,6,75,0.9819587628865979,0.8433734939759037
27,6,100,0.9819587628865979,0.8433734939759037
28,6,150,0.979381443298969,0.8433734939759037
29,6,200,0.9768041237113402,0.8433734939759037
30,7,25,0.9845360824742269,0.8313253012048193
31,7,50,0.9896907216494846,0.8313253012048193
32,7,75,0.9922680412371134,0.8313253012048193
33,7,100,0.9922680412371134,0.8373493975903614
34,7,150,0.9922680412371134,0.8373493975903614
35,7,200,1.0,0.8433734939759037
36,8,25,0.9922680412371134,0.8373493975903614
37,8,50,1.0,0.8373493975903614
38,8,75,1.0,0.8253012048192772
39,8,100,1.0,0.8313253012048193
40,8,150,1.0,0.8313253012048193
41,8,200,1.0,0.8253012048192772
42,9,25,1.0,0.8132530120481928
43,9,50,1.0,0.8072289156626506
44,9,75,1.0,0.8313253012048193
45,9,100,1.0,0.8253012048192772
46,9,150,1.0,0.8313253012048193
47,9,200,1.0,0.8433734939759037
48,10,25,0.9974226804123711,0.8373493975903614
49,10,50,1.0,0.8132530120481928
50,10,75,1.0,0.8253012048192772
51,10,100,1.0,0.8373493975903614
52,10,150,1.0,0.8493975903614458
53,10,200,1.0,0.8253012048192772
