,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.875,0.8423645320197044
1,2,50,0.8686440677966102,0.8275862068965517
2,2,75,0.8728813559322034,0.8325123152709359
3,2,100,0.8792372881355932,0.8374384236453202
4,2,150,0.8792372881355932,0.8374384236453202
5,2,200,0.8792372881355932,0.8325123152709359
6,3,25,0.9004237288135594,0.8719211822660099
7,3,50,0.902542372881356,0.8571428571428571
8,3,75,0.9088983050847458,0.8571428571428571
9,3,100,0.9067796610169492,0.8620689655172413
10,3,150,0.9088983050847458,0.8620689655172413
11,3,200,0.9067796610169492,0.8571428571428571
12,4,25,0.9067796610169492,0.8768472906403941
13,4,50,0.9088983050847458,0.8768472906403941
14,4,75,0.9110169491525424,0.8719211822660099
15,4,100,0.9110169491525424,0.8719211822660099
16,4,150,0.9152542372881356,0.8669950738916257
17,4,200,0.9173728813559322,0.8669950738916257
18,5,25,0.9258474576271186,0.8522167487684729
19,5,50,0.934322033898305,0.8620689655172413
20,5,75,0.9385593220338984,0.8522167487684729
21,5,100,0.940677966101695,0.8571428571428571
22,5,150,0.9427966101694916,0.8620689655172413
23,5,200,0.940677966101695,0.8620689655172413
24,6,25,0.9491525423728814,0.8768472906403941
25,6,50,0.9533898305084746,0.8669950738916257
26,6,75,0.9491525423728814,0.8669950738916257
27,6,100,0.9491525423728814,0.8669950738916257
28,6,150,0.951271186440678,0.8669950738916257
29,6,200,0.9533898305084746,0.8669950738916257
30,7,25,0.9555084745762712,0.8719211822660099
31,7,50,0.9576271186440678,0.8522167487684729
32,7,75,0.9576271186440678,0.8620689655172413
33,7,100,0.9576271186440678,0.8522167487684729
34,7,150,0.9555084745762712,0.8620689655172413
35,7,200,0.9555084745762712,0.8620689655172413
36,8,25,0.9745762711864406,0.8817733990147784
37,8,50,0.9703389830508474,0.8817733990147784
38,8,75,0.9661016949152542,0.8669950738916257
39,8,100,0.972457627118644,0.8719211822660099
40,8,150,0.9682203389830508,0.8719211822660099
41,8,200,0.9703389830508474,0.8669950738916257
42,9,25,0.9766949152542372,0.8620689655172413
43,9,50,0.9788135593220338,0.8522167487684729
44,9,75,0.9788135593220338,0.8522167487684729
45,9,100,0.9830508474576272,0.8669950738916257
46,9,150,0.9851694915254238,0.8719211822660099
47,9,200,0.9830508474576272,0.8522167487684729
48,10,25,0.9851694915254238,0.8719211822660099
49,10,50,0.9872881355932204,0.8719211822660099
50,10,75,0.989406779661017,0.8669950738916257
51,10,100,0.989406779661017,0.8669950738916257
52,10,150,0.9872881355932204,0.8768472906403941
53,10,200,0.9872881355932204,0.8768472906403941
