,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.8929889298892989,0.8706896551724138
1,2,50,0.9040590405904059,0.8706896551724138
2,2,75,0.9040590405904059,0.8620689655172413
3,2,100,0.9077490774907749,0.8620689655172413
4,2,150,0.9114391143911439,0.8620689655172413
5,2,200,0.9114391143911439,0.8620689655172413
6,3,25,0.9188191881918819,0.8706896551724138
7,3,50,0.915129151291513,0.8706896551724138
8,3,75,0.915129151291513,0.8706896551724138
9,3,100,0.915129151291513,0.8620689655172413
10,3,150,0.915129151291513,0.8706896551724138
11,3,200,0.915129151291513,0.8706896551724138
12,4,25,0.9261992619926199,0.896551724137931
13,4,50,0.933579335793358,0.896551724137931
14,4,75,0.9261992619926199,0.8793103448275862
15,4,100,0.933579335793358,0.8879310344827587
16,4,150,0.9372693726937269,0.8793103448275862
17,4,200,0.933579335793358,0.8793103448275862
18,5,25,0.959409594095941,0.8448275862068966
19,5,50,0.9630996309963099,0.8793103448275862
20,5,75,0.966789667896679,0.8879310344827587
21,5,100,0.966789667896679,0.8706896551724138
22,5,150,0.974169741697417,0.8793103448275862
23,5,200,0.981549815498155,0.8879310344827587
24,6,25,0.985239852398524,0.8793103448275862
25,6,50,0.985239852398524,0.8793103448275862
26,6,75,0.992619926199262,0.896551724137931
27,6,100,0.992619926199262,0.896551724137931
28,6,150,0.996309963099631,0.8706896551724138
29,6,200,1.0,0.8879310344827587
30,7,25,0.988929889298893,0.8706896551724138
31,7,50,0.996309963099631,0.8879310344827587
32,7,75,1.0,0.896551724137931
33,7,100,1.0,0.8879310344827587
34,7,150,1.0,0.8879310344827587
35,7,200,1.0,0.8793103448275862
36,8,25,0.988929889298893,0.8793103448275862
37,8,50,0.996309963099631,0.8879310344827587
38,8,75,1.0,0.8793103448275862
39,8,100,1.0,0.8879310344827587
40,8,150,1.0,0.896551724137931
41,8,200,1.0,0.896551724137931
42,9,25,0.988929889298893,0.8706896551724138
43,9,50,0.996309963099631,0.8706896551724138
44,9,75,1.0,0.8879310344827587
45,9,100,1.0,0.8879310344827587
46,9,150,1.0,0.896551724137931
47,9,200,1.0,0.8879310344827587
48,10,25,0.992619926199262,0.8620689655172413
49,10,50,1.0,0.8620689655172413
50,10,75,1.0,0.8793103448275862
51,10,100,1.0,0.8879310344827587
52,10,150,1.0,0.8879310344827587
53,10,200,1.0,0.8879310344827587
