,Max Depth,Training Accuracy,Testing Accuracy
0,2,0.971830985915493,0.9333333333333333
1,3,1.0,0.9
2,4,1.0,0.8666666666666667
3,5,1.0,0.9
4,6,1.0,0.9
5,7,1.0,0.9333333333333333
6,8,1.0,0.8333333333333334
7,9,1.0,0.9333333333333333
8,10,1.0,0.9
