,Dataset,Selective,Max Depth,Training Accuracy,Testing Accuracy
65,Month_12,True,4,0.9216101694915254,0.8374384236453202
66,Month_12,True,5,0.9385593220338984,0.8522167487684729
67,Month_12,True,6,0.9491525423728814,0.8423645320197044
68,Month_12,True,7,0.951271186440678,0.8522167487684729
69,Month_12,True,8,0.961864406779661,0.8325123152709359
70,Month_12,True,9,0.9745762711864406,0.8325123152709359
71,Month_12,True,10,0.9766949152542372,0.8374384236453202
72,Month_18,True,2,0.897196261682243,0.8791208791208791
73,Month_18,True,3,0.9158878504672897,0.8681318681318682
74,Month_18,True,4,0.9392523364485982,0.8791208791208791
75,Month_18,True,5,0.9485981308411215,0.8791208791208791
76,Month_18,True,6,0.9626168224299065,0.8681318681318682
77,Month_18,True,7,0.9813084112149533,0.8901098901098901
78,Month_18,True,8,0.9813084112149533,0.8791208791208791
79,Month_18,True,9,0.9813084112149533,0.8791208791208791
80,Month_18,True,10,0.985981308411215,0.8901098901098901
81,Month_24,True,2,0.8711340206185567,0.8132530120481928
82,Month_24,True,3,0.9072164948453608,0.8313253012048193
83,Month_24,True,4,0.9304123711340206,0.8433734939759037
84,Month_24,True,5,0.9355670103092784,0.8313253012048193
85,Month_24,True,6,0.9510309278350515,0.8253012048192772
86,Month_24,True,7,0.9742268041237113,0.8192771084337349
87,Month_24,True,8,0.9871134020618557,0.8012048192771084
88,Month_24,True,9,0.9948453608247423,0.8192771084337349
89,Month_24,True,10,1.0,0.8253012048192772
90,Month_36,True,2,0.8819188191881919,0.8448275862068966
91,Month_36,True,3,0.9298892988929889,0.8189655172413793
92,Month_36,True,4,0.9520295202952029,0.8275862068965517
93,Month_36,True,5,0.974169741697417,0.8189655172413793
94,Month_36,True,6,0.988929889298893,0.8189655172413793
95,Month_36,True,7,0.996309963099631,0.8189655172413793
96,Month_36,True,8,1.0,0.8189655172413793
97,Month_36,True,9,1.0,0.8189655172413793
98,Month_36,True,10,1.0,0.8189655172413793
99,Month_48,True,2,0.971830985915493,0.9
100,Month_48,True,3,0.9859154929577465,0.9
101,Month_48,True,4,1.0,0.9
102,Month_48,True,5,1.0,0.8666666666666667
103,Month_48,True,6,1.0,0.9
104,Month_48,True,7,1.0,0.9
105,Month_48,True,8,1.0,0.9
106,Month_48,True,9,1.0,0.8666666666666667
107,Month_48,True,10,1.0,0.8666666666666667
