,K Value,Training Accuracy,Testing Accuracy
0,3,0.883177570093458,0.8131868131868132
1,4,0.8457943925233645,0.7912087912087912
2,5,0.8317757009345794,0.8241758241758241
3,6,0.8364485981308412,0.8021978021978022
4,7,0.8504672897196262,0.7802197802197802
5,8,0.8411214953271028,0.8021978021978022
6,9,0.8457943925233645,0.8131868131868132
7,10,0.8271028037383178,0.8131868131868132
8,11,0.8177570093457944,0.8021978021978022
9,12,0.822429906542056,0.8021978021978022
10,13,0.8130841121495327,0.8021978021978022
