,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9630996309963099,0.853448275862069
1,2,50,0.981549815498155,0.853448275862069
2,2,75,0.985239852398524,0.8620689655172413
3,2,100,0.981549815498155,0.8362068965517241
4,2,150,0.988929889298893,0.853448275862069
5,2,200,0.988929889298893,0.853448275862069
6,3,25,1.0,0.8620689655172413
7,3,50,1.0,0.8620689655172413
8,3,75,1.0,0.8706896551724138
9,3,100,1.0,0.853448275862069
10,3,150,1.0,0.8448275862068966
11,3,200,1.0,0.8448275862068966
12,4,25,1.0,0.8793103448275862
13,4,50,1.0,0.853448275862069
14,4,75,1.0,0.853448275862069
15,4,100,1.0,0.8620689655172413
16,4,150,1.0,0.853448275862069
17,4,200,1.0,0.853448275862069
18,5,25,1.0,0.8448275862068966
19,5,50,1.0,0.8706896551724138
20,5,75,1.0,0.8362068965517241
21,5,100,1.0,0.853448275862069
22,5,150,1.0,0.8448275862068966
23,5,200,1.0,0.853448275862069
24,6,25,1.0,0.8620689655172413
25,6,50,1.0,0.853448275862069
26,6,75,1.0,0.853448275862069
27,6,100,1.0,0.853448275862069
28,6,150,1.0,0.853448275862069
29,6,200,1.0,0.8448275862068966
30,7,25,1.0,0.8620689655172413
31,7,50,1.0,0.8620689655172413
32,7,75,1.0,0.8448275862068966
33,7,100,1.0,0.8275862068965517
34,7,150,1.0,0.8448275862068966
35,7,200,1.0,0.853448275862069
36,8,25,1.0,0.853448275862069
37,8,50,1.0,0.896551724137931
38,8,75,1.0,0.8620689655172413
39,8,100,1.0,0.853448275862069
40,8,150,1.0,0.8620689655172413
41,8,200,1.0,0.8362068965517241
42,9,25,0.996309963099631,0.8189655172413793
43,9,50,0.996309963099631,0.8448275862068966
44,9,75,0.996309963099631,0.853448275862069
45,9,100,0.996309963099631,0.8879310344827587
46,9,150,0.996309963099631,0.8879310344827587
47,9,200,0.996309963099631,0.8448275862068966
48,10,25,1.0,0.8275862068965517
49,10,50,1.0,0.8275862068965517
50,10,75,1.0,0.8275862068965517
51,10,100,1.0,0.8275862068965517
52,10,150,1.0,0.8362068965517241
53,10,200,1.0,0.8275862068965517
