,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9830508474576272,0.8177339901477833
1,2,50,1.0,0.812807881773399
2,2,75,1.0,0.8423645320197044
3,2,100,1.0,0.8374384236453202
4,2,150,1.0,0.8275862068965517
5,2,200,1.0,0.8177339901477833
6,3,25,1.0,0.8423645320197044
7,3,50,1.0,0.8472906403940886
8,3,75,1.0,0.8275862068965517
9,3,100,1.0,0.8522167487684729
10,3,150,1.0,0.8472906403940886
11,3,200,1.0,0.8522167487684729
12,4,25,1.0,0.8423645320197044
13,4,50,1.0,0.8571428571428571
14,4,75,1.0,0.8620689655172413
15,4,100,1.0,0.8472906403940886
16,4,150,1.0,0.8571428571428571
17,4,200,1.0,0.8472906403940886
18,5,25,1.0,0.8620689655172413
19,5,50,1.0,0.8522167487684729
20,5,75,1.0,0.8669950738916257
21,5,100,1.0,0.8719211822660099
22,5,150,1.0,0.8719211822660099
23,5,200,1.0,0.8571428571428571
24,6,25,1.0,0.8423645320197044
25,6,50,1.0,0.8571428571428571
26,6,75,1.0,0.8522167487684729
27,6,100,1.0,0.8571428571428571
28,6,150,1.0,0.8620689655172413
29,6,200,1.0,0.8620689655172413
30,7,25,1.0,0.8620689655172413
31,7,50,1.0,0.8423645320197044
32,7,75,1.0,0.8620689655172413
33,7,100,1.0,0.8620689655172413
34,7,150,1.0,0.8669950738916257
35,7,200,1.0,0.8620689655172413
36,8,25,1.0,0.812807881773399
37,8,50,1.0,0.812807881773399
38,8,75,1.0,0.8029556650246306
39,8,100,1.0,0.8177339901477833
40,8,150,1.0,0.812807881773399
41,8,200,1.0,0.7980295566502463
42,9,25,0.9978813559322034,0.8226600985221675
43,9,50,0.9978813559322034,0.8275862068965517
44,9,75,0.9978813559322034,0.8275862068965517
45,9,100,0.9978813559322034,0.8275862068965517
46,9,150,0.9978813559322034,0.8275862068965517
47,9,200,0.9978813559322034,0.8275862068965517
48,10,25,1.0,0.8275862068965517
49,10,50,1.0,0.8325123152709359
50,10,75,1.0,0.8177339901477833
51,10,100,1.0,0.812807881773399
52,10,150,1.0,0.8325123152709359
53,10,200,1.0,0.8226600985221675
