,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.9484536082474226,0.8433734939759037
1,2,50,0.9484536082474226,0.8192771084337349
2,2,75,0.9458762886597938,0.8493975903614458
3,2,100,0.9484536082474226,0.8313253012048193
4,2,150,0.9381443298969072,0.8253012048192772
5,2,200,0.9484536082474226,0.8132530120481928
6,3,25,0.9871134020618557,0.8614457831325302
7,3,50,1.0,0.8192771084337349
8,3,75,1.0,0.8132530120481928
9,3,100,1.0,0.8012048192771084
10,3,150,1.0,0.8313253012048193
11,3,200,1.0,0.8313253012048193
12,4,25,1.0,0.8132530120481928
13,4,50,1.0,0.8373493975903614
14,4,75,1.0,0.8253012048192772
15,4,100,1.0,0.8373493975903614
16,4,150,1.0,0.8313253012048193
17,4,200,1.0,0.8313253012048193
18,5,25,1.0,0.8313253012048193
19,5,50,1.0,0.8433734939759037
20,5,75,1.0,0.8554216867469879
21,5,100,1.0,0.8313253012048193
22,5,150,1.0,0.8253012048192772
23,5,200,1.0,0.8373493975903614
24,6,25,1.0,0.8493975903614458
25,6,50,1.0,0.8373493975903614
26,6,75,1.0,0.8373493975903614
27,6,100,1.0,0.8373493975903614
28,6,150,1.0,0.8253012048192772
29,6,200,1.0,0.8373493975903614
30,7,25,1.0,0.8373493975903614
31,7,50,1.0,0.8192771084337349
32,7,75,1.0,0.8313253012048193
33,7,100,1.0,0.8373493975903614
34,7,150,1.0,0.8313253012048193
35,7,200,1.0,0.8373493975903614
36,8,25,1.0,0.8313253012048193
37,8,50,1.0,0.8373493975903614
38,8,75,1.0,0.8192771084337349
39,8,100,1.0,0.8373493975903614
40,8,150,1.0,0.8373493975903614
41,8,200,1.0,0.8554216867469879
42,9,25,1.0,0.8614457831325302
43,9,50,1.0,0.8373493975903614
44,9,75,1.0,0.8313253012048193
45,9,100,1.0,0.8253012048192772
46,9,150,1.0,0.8313253012048193
47,9,200,1.0,0.8253012048192772
48,10,25,0.979381443298969,0.8072289156626506
49,10,50,0.979381443298969,0.8132530120481928
50,10,75,0.979381443298969,0.8132530120481928
51,10,100,0.979381443298969,0.8132530120481928
52,10,150,0.9819587628865979,0.8132530120481928
53,10,200,0.979381443298969,0.8012048192771084
