,Max Depth,Training Accuracy,Testing Accuracy
0,2,0.865979381443299,0.7831325301204819
1,3,0.904639175257732,0.8253012048192772
2,4,0.9355670103092784,0.8313253012048193
3,5,0.9458762886597938,0.8433734939759037
4,6,0.9536082474226805,0.8132530120481928
5,7,0.9587628865979382,0.8253012048192772
6,8,0.9587628865979382,0.7951807228915663
7,9,0.9716494845360825,0.8313253012048193
8,10,0.979381443298969,0.8192771084337349
