,Max Depth,Estimators,Training Accuracy,Testing Accuracy
0,2,25,0.8634020618556701,0.8554216867469879
1,2,50,0.8737113402061856,0.8493975903614458
2,2,75,0.8685567010309279,0.8313253012048193
3,2,100,0.865979381443299,0.8373493975903614
4,2,150,0.8685567010309279,0.8373493975903614
5,2,200,0.8582474226804123,0.8373493975903614
6,3,25,0.9072164948453608,0.8313253012048193
7,3,50,0.904639175257732,0.8493975903614458
8,3,75,0.9072164948453608,0.8493975903614458
9,3,100,0.9072164948453608,0.8493975903614458
10,3,150,0.9072164948453608,0.8493975903614458
11,3,200,0.9072164948453608,0.8433734939759037
12,4,25,0.9304123711340206,0.8493975903614458
13,4,50,0.9252577319587629,0.8554216867469879
14,4,75,0.9226804123711341,0.8554216867469879
15,4,100,0.9278350515463918,0.8433734939759037
16,4,150,0.9252577319587629,0.8433734939759037
17,4,200,0.9329896907216495,0.8433734939759037
18,5,25,0.9355670103092784,0.8554216867469879
19,5,50,0.9458762886597938,0.8493975903614458
20,5,75,0.9510309278350515,0.8433734939759037
21,5,100,0.9510309278350515,0.8373493975903614
22,5,150,0.9561855670103093,0.8373493975903614
23,5,200,0.9536082474226805,0.8433734939759037
24,6,25,0.9510309278350515,0.8433734939759037
25,6,50,0.9536082474226805,0.8554216867469879
26,6,75,0.9639175257731959,0.8433734939759037
27,6,100,0.9690721649484536,0.8373493975903614
28,6,150,0.9716494845360825,0.8433734939759037
29,6,200,0.9716494845360825,0.8373493975903614
30,7,25,0.9768041237113402,0.8493975903614458
31,7,50,0.9845360824742269,0.8493975903614458
32,7,75,0.9871134020618557,0.8433734939759037
33,7,100,0.979381443298969,0.8373493975903614
34,7,150,0.9871134020618557,0.8373493975903614
35,7,200,0.9819587628865979,0.8433734939759037
36,8,25,0.9845360824742269,0.8253012048192772
37,8,50,0.9871134020618557,0.8554216867469879
38,8,75,0.9871134020618557,0.8373493975903614
39,8,100,0.9896907216494846,0.8493975903614458
40,8,150,0.9896907216494846,0.8373493975903614
41,8,200,0.9871134020618557,0.8313253012048193
42,9,25,0.9896907216494846,0.8313253012048193
43,9,50,0.9922680412371134,0.8313253012048193
44,9,75,0.9896907216494846,0.8253012048192772
45,9,100,0.9896907216494846,0.8253012048192772
46,9,150,0.9896907216494846,0.8253012048192772
47,9,200,0.9948453608247423,0.8313253012048193
48,10,25,0.9948453608247423,0.8373493975903614
49,10,50,0.9948453608247423,0.8373493975903614
50,10,75,0.9948453608247423,0.8433734939759037
51,10,100,0.9974226804123711,0.8493975903614458
52,10,150,1.0,0.8373493975903614
53,10,200,1.0,0.8433734939759037
