,Dataset,Selective,Max Depth,Estimators,Training Accuracy,Testing Accuracy
103,Month_12,False,10,50,1.0,0.8029556650246306
104,Month_12,False,10,75,1.0,0.7931034482758621
105,Month_12,False,10,100,1.0,0.7881773399014779
106,Month_12,False,10,150,1.0,0.8029556650246306
107,Month_12,False,10,200,1.0,0.7832512315270936
108,Month_18,False,2,25,1.0,0.7472527472527473
109,Month_18,False,2,50,1.0,0.8351648351648352
110,Month_18,False,2,75,1.0,0.8571428571428571
111,Month_18,False,2,100,1.0,0.8351648351648352
112,Month_18,False,2,150,1.0,0.8351648351648352
113,Month_18,False,2,200,1.0,0.8131868131868132
114,Month_18,False,3,25,1.0,0.8461538461538461
115,Month_18,False,3,50,1.0,0.8791208791208791
116,Month_18,False,3,75,1.0,0.8571428571428571
117,Month_18,False,3,100,1.0,0.8791208791208791
118,Month_18,False,3,150,1.0,0.8681318681318682
119,Month_18,False,3,200,1.0,0.8681318681318682
120,Month_18,False,4,25,1.0,0.8461538461538461
121,Month_18,False,4,50,1.0,0.8681318681318682
122,Month_18,False,4,75,1.0,0.8461538461538461
123,Month_18,False,4,100,1.0,0.8571428571428571
124,Month_18,False,4,150,1.0,0.8571428571428571
125,Month_18,False,4,200,1.0,0.8461538461538461
126,Month_18,False,5,25,1.0,0.8241758241758241
127,Month_18,False,5,50,1.0,0.8351648351648352
128,Month_18,False,5,75,1.0,0.8681318681318682
129,Month_18,False,5,100,1.0,0.8241758241758241
130,Month_18,False,5,150,1.0,0.8571428571428571
131,Month_18,False,5,200,1.0,0.8461538461538461
132,Month_18,False,6,25,1.0,0.8131868131868132
133,Month_18,False,6,50,1.0,0.8241758241758241
134,Month_18,False,6,75,1.0,0.8571428571428571
135,Month_18,False,6,100,1.0,0.8131868131868132
136,Month_18,False,6,150,1.0,0.8681318681318682
137,Month_18,False,6,200,1.0,0.8571428571428571
138,Month_18,False,7,25,1.0,0.7692307692307693
139,Month_18,False,7,50,1.0,0.7802197802197802
140,Month_18,False,7,75,1.0,0.7582417582417582
141,Month_18,False,7,100,1.0,0.7802197802197802
142,Month_18,False,7,150,1.0,0.7692307692307693
143,Month_18,False,7,200,1.0,0.7582417582417582
144,Month_18,False,8,25,1.0,0.7582417582417582
145,Month_18,False,8,50,1.0,0.7472527472527473
146,Month_18,False,8,75,1.0,0.7692307692307693
147,Month_18,False,8,100,1.0,0.7692307692307693
148,Month_18,False,8,150,1.0,0.7802197802197802
149,Month_18,False,8,200,1.0,0.7692307692307693
150,Month_18,False,9,25,1.0,0.7582417582417582
151,Month_18,False,9,50,1.0,0.7802197802197802
152,Month_18,False,9,75,1.0,0.7692307692307693
153,Month_18,False,9,100,1.0,0.7472527472527473
154,Month_18,False,9,150,1.0,0.7802197802197802
155,Month_18,False,9,200,1.0,0.7692307692307693
156,Month_18,False,10,25,1.0,0.7802197802197802
157,Month_18,False,10,50,1.0,0.7582417582417582
158,Month_18,False,10,75,1.0,0.7692307692307693
159,Month_18,False,10,100,1.0,0.7582417582417582
160,Month_18,False,10,150,1.0,0.7582417582417582
161,Month_18,False,10,200,1.0,0.7582417582417582
162,Month_24,False,2,25,0.9304123711340206,0.8192771084337349
163,Month_24,False,2,50,0.9458762886597938,0.7891566265060241
164,Month_24,False,2,75,0.9536082474226805,0.7831325301204819
165,Month_24,False,2,100,0.9896907216494846,0.8192771084337349
166,Month_24,False,2,150,1.0,0.8132530120481928
167,Month_24,False,2,200,1.0,0.8012048192771084
168,Month_24,False,3,25,1.0,0.8072289156626506
169,Month_24,False,3,50,1.0,0.8253012048192772
170,Month_24,False,3,75,1.0,0.8373493975903614
171,Month_24,False,3,100,1.0,0.8253012048192772
