,K Value,Training Accuracy,Testing Accuracy
0,3,0.8878504672897196,0.7472527472527473
1,4,0.883177570093458,0.7472527472527473
2,5,0.8551401869158879,0.7582417582417582
3,6,0.8598130841121495,0.7362637362637363
4,7,0.8598130841121495,0.7802197802197802
5,8,0.8738317757009346,0.7472527472527473
6,9,0.8644859813084113,0.7692307692307693
7,10,0.8644859813084113,0.7802197802197802
8,11,0.8364485981308412,0.7912087912087912
9,12,0.8504672897196262,0.8131868131868132
10,13,0.8317757009345794,0.8351648351648352
