,C Value,Training Accuracy,Testing Accuracy
0,0.01,0.8708414872798435,0.8721461187214612
1,0.02,0.8845401174168297,0.8767123287671232
2,0.1,0.9178082191780822,0.867579908675799
3,0.2,0.9315068493150684,0.863013698630137
4,0.3,0.9275929549902152,0.8584474885844748
5,0.5,0.9373776908023483,0.8538812785388128
6,0.75,0.9412915851272016,0.8447488584474886
7,0.9,0.9452054794520548,0.8447488584474886
8,1.0,0.9471624266144814,0.8401826484018264
